@relation 'mushrooms-weka.filters.unsupervised.attribute.Copy-R8,9,19-weka.filters.unsupervised.attribute.OrdinalToNumeric-R24,25-weka.filters.unsupervised.attribute.RenameNominalValues-R26-No:1,t:2,n:0-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1'

@attribute cap-shape {x,b,s,f,k,c}
@attribute cap-surface {s,y,f,g}
@attribute cap-color {n,y,w,g,e,p,b,u,c,r}
@attribute bruises {t,f}
@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute gill-attachment {f,a}
@attribute gill-spacing {c,w}
@attribute gill-size numeric
@attribute gill-color {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape {e,t}
@attribute stalk-root {e,c,b,r}
@attribute stalk-surface-above-ring {s,f,k,y}
@attribute stalk-surface-below-ring {s,f,y,k}
@attribute stalk-color-above-ring {w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring {w,p,g,b,n,e,y,o,c}
@attribute veil-type {p}
@attribute veil-color {w,n,o,y}
@attribute ring-number {o,t,n}
@attribute ring-type {p,e,l,f,n}
@attribute spore-print-color {k,n,u,h,w,r,o,y,b}
@attribute population {s,n,a,v,y,c}
@attribute habitat {u,g,m,d,p,w,l}
@attribute gill-spacing-num numeric
@attribute gill-size-num numeric
@attribute ring-number-num numeric
@attribute class {p,e}

@data
x,s,y,t,a,f,c,3.5196290783199,n,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
b,s,w,t,a,f,c,3.50363861040611,g,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,w,t,a,f,c,4.44396048498357,g,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,f,n,f,n,f,w,3.0491736535692,p,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
b,s,y,t,l,f,c,3.23269655461056,n,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
f,y,y,t,l,f,c,2.89622995744314,w,e,r,s,y,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,y,t,a,f,c,4.05955187886349,n,e,r,s,y,w,w,p,w,o,p,k,y,p,1,1,1,e
b,y,w,t,l,f,c,4.1871068444926,g,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,y,y,t,a,f,c,3.28716203038632,n,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
x,y,y,t,a,f,c,3.30648157373344,w,e,r,s,y,w,w,p,w,o,p,n,y,g,1,1,1,e
b,y,w,t,l,f,c,4.19854848120344,n,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,y,w,t,a,f,c,3.34754830092825,g,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
x,s,y,t,a,f,c,3.34580025729343,k,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
x,s,y,t,l,f,c,3.95957521305086,w,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
x,s,y,t,a,f,c,3.91877488448702,n,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
x,y,y,t,l,f,c,3.43960163501661,p,e,r,s,y,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,y,t,l,f,c,2.90358885096479,w,e,r,s,y,w,w,p,w,o,p,k,y,g,1,1,1,e
x,y,w,t,a,f,c,3.97171605573623,g,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
f,s,g,f,n,f,w,4.00743900059035,k,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,s,y,t,l,f,c,3.54016169522123,g,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
x,s,w,f,n,f,w,2.28245472769303,n,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
b,s,y,t,a,f,c,2.85327413754482,w,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
f,f,g,f,n,f,w,3.488461106938,h,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,s,w,t,l,f,c,3.36068277961468,n,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
b,s,w,t,l,f,c,4.46930299453634,n,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,s,w,t,l,f,c,3.20744897655168,w,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
b,y,w,t,l,f,c,3.73265054796218,w,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
x,y,y,t,l,f,c,2.40015657246658,g,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
x,y,y,t,a,f,c,3.77831088626307,n,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
b,s,y,t,l,f,c,3.17997530084267,w,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,y,n,t,a,f,c,3.22185754791794,w,e,r,s,y,w,w,p,w,o,p,k,y,p,1,1,1,e
b,y,y,t,l,f,c,2.45997487696915,g,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
f,y,n,t,a,f,c,3.35208263944122,w,e,r,s,y,w,w,p,w,o,p,k,y,p,1,1,1,e
x,y,y,t,a,f,c,3.3360690574555,k,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
x,f,g,f,n,f,w,3.62788807442119,k,t,e,f,f,w,w,p,w,o,e,k,s,g,2,1,1,e
f,f,w,f,n,f,w,4.43112110233271,k,t,e,s,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,y,y,t,l,f,c,2.84994695893328,w,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
b,s,y,t,l,f,c,4.17155477566017,k,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
b,y,w,t,a,f,c,3.13607616080572,g,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
x,y,w,t,a,f,c,4.63056849412567,w,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,s,n,f,n,f,w,3.63333657793356,p,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,y,w,t,l,f,c,3.74386016536695,g,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,n,t,l,f,c,2.85432928997318,w,e,r,s,y,w,w,p,w,o,p,k,s,g,1,1,1,e
b,y,y,t,a,f,c,3.43014086130045,k,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,y,w,t,a,f,c,2.84273035293894,k,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
b,y,w,t,a,f,c,4.18429238689845,n,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,s,y,t,a,f,c,3.73552695460323,g,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
b,s,y,t,l,f,c,3.25364516788698,g,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,y,y,t,a,f,c,3.73484425259902,n,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
f,y,n,t,l,f,c,3.11098877570778,n,e,r,s,y,w,w,p,w,o,p,n,y,g,1,1,1,e
x,y,w,t,a,f,c,2.3413153172211,k,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
f,y,y,t,l,f,c,3.42344337991852,w,e,r,s,y,w,w,p,w,o,p,n,y,p,1,1,1,e
b,s,w,t,a,f,c,2.98425335500492,w,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
b,s,w,t,a,f,c,3.87926519138537,w,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
x,y,n,t,l,f,c,3.57285219982698,w,e,r,s,y,w,w,p,w,o,p,k,y,g,1,1,1,e
b,s,w,t,a,f,c,4.11276648948469,k,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
b,s,y,t,l,f,c,2.66173124488851,k,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
b,y,y,t,a,f,c,3.11611805473732,w,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
f,y,y,t,l,f,c,3.58199257645481,p,e,r,s,y,w,w,p,w,o,p,n,s,g,1,1,1,e
b,y,w,t,l,f,c,2.88136368759004,w,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
b,y,w,t,a,f,c,3.33271223567904,k,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
b,y,y,t,a,f,c,2.90284751022394,g,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,y,t,l,f,c,3.28449257588064,g,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
b,s,y,t,l,f,c,3.86917544517582,g,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,s,y,t,a,f,c,3.58194745569229,g,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
f,y,n,t,a,f,c,4.38379962409044,p,e,r,s,y,w,w,p,w,o,p,k,s,p,1,1,1,e
b,s,w,t,l,f,c,3.53810112883592,g,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,y,y,t,l,f,c,4.03463248694137,g,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,y,n,t,a,f,c,4.01779110689027,w,e,r,s,y,w,w,p,w,o,p,n,y,p,1,1,1,e
x,f,w,f,n,f,w,3.74485957356241,p,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
b,s,w,t,l,f,c,2.79317159703929,w,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
x,s,y,t,a,f,c,4.16839809204878,k,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
b,s,y,t,a,f,c,3.76995828814594,n,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,s,w,t,l,f,c,3.50832495151618,g,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,y,w,t,l,f,c,3.34419626389272,n,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
x,y,y,t,l,f,c,3.54048956947333,w,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
b,s,w,t,l,f,c,3.93001135845376,w,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,s,w,t,a,f,c,3.46717532043123,g,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
x,f,w,f,n,f,w,3.10214197816513,h,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
f,y,n,t,l,f,c,2.50311043738673,n,e,r,s,y,w,w,p,w,o,p,k,y,p,1,1,1,e
b,s,w,t,a,f,c,3.7633893877479,n,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
b,s,w,t,a,f,c,3.27464626406882,k,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,y,w,t,l,f,c,4.18376958644974,n,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
b,y,w,t,a,f,c,3.91019271452877,w,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
x,s,y,t,a,f,c,2.63727221042744,w,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
b,s,w,t,l,f,c,3.80328452503475,w,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
f,y,y,t,a,f,c,3.15020899573147,n,e,r,s,y,w,w,p,w,o,p,n,s,g,1,1,1,e
b,s,w,t,l,f,c,3.9960354815085,n,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
x,s,y,t,a,f,c,2.12595315883778,g,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,y,y,t,a,f,c,3.31036842929494,k,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,y,w,t,l,f,c,3.87381611633635,w,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,s,w,t,a,f,c,2.92533654734879,n,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,y,y,t,a,f,c,5.54018443960142,n,e,r,s,y,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,w,t,l,f,c,4.17525030240517,g,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
b,y,w,t,l,f,c,3.82174840146747,n,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,s,w,t,a,f,c,3.83426039961353,g,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,s,y,t,a,f,c,3.17400884021886,g,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
b,s,y,t,a,f,c,3.21172809194937,n,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,y,y,t,l,f,c,3.13959558721579,n,e,r,s,y,w,w,p,w,o,p,n,y,p,1,1,1,e
b,s,w,t,l,f,c,3.00985866861365,k,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,y,w,t,l,f,c,3.44540279057151,w,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
b,y,y,t,l,f,c,3.60417930356714,n,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,y,t,l,f,c,2.74982609677826,n,e,r,s,y,w,w,p,w,o,p,k,s,g,1,1,1,e
f,y,y,t,a,f,c,3.64100005926994,p,e,r,s,y,w,w,p,w,o,p,k,s,p,1,1,1,e
f,y,y,t,a,f,c,4.19866017130107,w,e,r,s,y,w,w,p,w,o,p,k,y,p,1,1,1,e
x,s,w,t,l,f,c,3.5810661597212,w,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,s,w,t,a,f,c,4.03821639494227,w,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,s,w,t,l,f,c,2.52724371522918,w,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,w,t,a,f,c,4.07338749803195,n,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
f,y,y,t,l,f,c,3.75531859511067,w,e,r,s,y,w,w,p,w,o,p,k,y,p,1,1,1,e
x,s,n,f,n,f,w,3.57497114928645,p,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
f,y,y,t,a,f,c,4.23686395596537,w,e,r,s,y,w,w,p,w,o,p,n,y,g,1,1,1,e
b,y,y,t,l,f,c,4.32325081444781,w,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,s,w,t,l,f,c,4.49589864555465,n,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
b,y,w,t,l,f,c,3.63816801896276,k,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,s,w,t,a,f,c,4.13810922862056,w,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
b,y,w,t,l,f,c,4.00435437281932,g,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
b,y,w,t,a,f,c,3.61124151618039,g,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
f,y,n,t,l,f,c,2.42263934323031,w,e,r,s,y,w,w,p,w,o,p,n,s,g,1,1,1,e
x,s,w,t,a,f,c,4.00507215862992,n,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,y,w,t,a,f,c,3.36427855868471,n,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
f,s,g,f,n,f,w,3.34411029914723,p,t,e,s,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,y,y,t,a,f,c,3.82900392276486,g,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,s,w,t,a,f,c,3.7280654676052,k,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
x,s,w,t,l,f,c,2.55272867679149,n,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
x,y,w,t,l,f,c,3.92869000174536,k,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,y,t,a,f,c,3.16678490932934,k,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
f,y,y,t,a,f,c,4.21927551631244,n,e,r,s,y,w,w,p,w,o,p,n,s,p,1,1,1,e
x,y,n,t,a,f,c,4.54773107853168,w,e,r,s,y,w,w,p,w,o,p,n,s,p,1,1,1,e
f,y,n,t,a,f,c,4.0088041434921,w,e,r,s,y,w,w,p,w,o,p,n,y,g,1,1,1,e
x,y,w,t,a,f,c,3.42415046752424,w,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
f,f,n,f,n,f,w,3.9526157704052,h,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,s,y,t,l,f,c,3.80777180994846,k,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
b,y,y,t,a,f,c,4.56568434731812,n,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,s,y,t,l,f,c,3.17317786896035,k,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,y,w,t,l,f,c,4.36901669533069,n,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
f,y,n,t,a,f,c,3.34270839359714,n,e,r,s,y,w,w,p,w,o,p,k,s,g,1,1,1,e
b,y,y,t,a,f,c,2.87934699590047,g,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,y,w,t,a,f,c,3.82967994333739,g,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,y,n,t,l,f,c,4.51105219806809,n,e,r,s,y,w,w,p,w,o,p,n,y,p,1,1,1,e
b,y,y,t,l,f,c,4.12677401026744,n,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,s,y,t,l,f,c,4.03884212868536,n,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,y,w,t,l,f,c,3.9032155440248,k,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,s,w,t,a,f,c,3.4841522053791,g,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,s,y,t,a,f,c,4.31475945270656,g,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,s,y,t,a,f,c,3.50960756412005,k,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
x,f,g,f,n,f,w,4.12337072083895,p,t,e,f,f,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,w,f,n,f,w,3.24916306862052,k,t,e,f,s,w,w,p,w,o,e,k,a,g,2,1,1,e
b,y,w,t,a,f,c,3.66490582496031,w,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
b,y,w,t,a,f,c,3.43454224101182,n,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,y,w,t,l,f,c,3.34452244769087,g,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
